                      B:B:AES |   ctr.key..ornd.inp:10485760 |    1 | R (590/ 636 ~0.928; c R (209/ 212) | hcr:   6, max  10, sm: 90.00 %, sds 111) exs: 349778, 349781, 349782, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |   ctr.key..ornd.inp:10485760 |    2 | R (588/ 636 ~0.925; c R (207/ 212) | hcr:   6, max  10, sm: 80.00 %, sds 111) exs: 349783, 349784, 349785, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |   ctr.key..ornd.inp:10485760 |    3 | R ( 88/ 642 ~0.137; c R ( 31/ 214) | hcr:   6, max  10, sm: 70.00 %, sds 111) exs: 349786, 349787, 349788, mpv: [1.105e-28, 1.852e-30, 5.174e-28]
                      B:B:AES |   ctr.key..ornd.inp:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 349789, 349790, 349791, mpv: [3.571e-04, 2.900e-03, 1.859e-03], [; ; ]
                      B:B:AES |   ctr.key..ornd.inp:10485760 |    5 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 361476, 361477, 361478, mpv: [4.900e-04, 3.500e-03, 5.880e-04], [; ; ]
                      B:B:AES |   ctr.key..ornd.inp:10485760 |    6 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 361479, 361480, 361481, mpv: [1.691e-03, 7.472e-04, 3.261e-03], [; ; ]
                      B:B:AES |   ctr.key..ornd.inp:10485760 |    7 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 377943, 377944, 377945, mpv: [1.757e-03, 2.791e-04, 8.663e-04], [; ; ]
                      B:B:AES |   ctr.key..ornd.inp:10485760 |    8 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 377946, 377947, 377948, mpv: [7.000e-03, 1.538e-03, 2.682e-04], [; ; ]
                      B:B:AES |  ctr.key..ornd.inp:104857600 |    1 | R (647/ 735 ~0.880; c R (243/ 245) | hcr:   6, max  10, sm: 90.00 %, sds 111) exs: 349792, 349793, 349794, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |  ctr.key..ornd.inp:104857600 |    2 | R (654/ 735 ~0.890; c R (234/ 245) | hcr:   6, max  10, sm: 80.00 %, sds 111) exs: 349795, 349796, 349797, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |  ctr.key..ornd.inp:104857600 |    3 | R (147/ 735 ~0.200; c R ( 49/ 245) | hcr:   6, max  10, sm: 70.00 %, sds 111) exs: 349779, 349798, 349799, mpv: [2.470e-323, 1.902e-321, 9.600e-244]
