                    H::Abacus |                 ctr:10485760 |    0 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 301451, 304642, 307786, mpv: [3.261e-03, 2.800e-04, 2.300e-04], [; ; ]
                    H::Abacus |                 ctr:10485760 |    1 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 301454, 304648, 307792, mpv: [1.252e-05, 9.900e-04, 8.663e-04], [; ; ]
                    H::Abacus |                 ctr:10485760 |    2 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 301457, 304654, 307798, mpv: [2.842e-03, 6.833e-04, 3.525e-04], [; ; ]
                    H::Abacus |                 ctr:10485760 |    3 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 301460, 304660, 307804, mpv: [2.700e-04, 5.808e-03, 2.600e-03], [; ; ]
                    H::Abacus |                 ctr:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 377889, 377890, 377891, mpv: [1.100e-03, 1.800e-03, 4.301e-03], [; ; ]
                    H::Abacus |                 ctr:10485760 |    5 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 377892, 377893, 377894, mpv: [1.930e-04, 2.043e-03, 5.958e-05], [; ; ]
                    H::Abacus |                ctr:104857600 |    0 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 303023, 304645, 307789, mpv: [1.300e-04, 6.480e-04, 4.204e-03], [; ; ]
                    H::Abacus |                ctr:104857600 |    1 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 303026, 304651, 307795, mpv: [1.900e-03, 1.386e-03, 2.114e-04], [; ; ]
                    H::Abacus |                ctr:104857600 |    2 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 303029, 304657, 307801, mpv: [1.257e-03, 6.253e-03, 4.715e-03], [; ; ]
                    H::Abacus |                ctr:104857600 |    3 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 303032, 304663, 307807, mpv: [9.500e-05, 2.784e-03, 1.323e-03], [; ; ]
                    H::Abacus |                ctr:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 377895, 377896, 377897, mpv: [2.545e-04, 1.165e-03, 3.800e-03], [; ; ]
                    H::Abacus |                ctr:104857600 |    5 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 377898, 377899, 377900, mpv: [4.744e-04, 7.600e-04, 8.400e-04], [; ; ]
                    H::Abacus |               ctr:1048576000 |    1 | - (  1/ 897 ~0.001; c - (  1/ 299) | hcr:  - , max 280, sds 000) exs: 321023, 321125, 321230, mpv: [2.757e-03, 3.564e-06, 1.105e-04], [; 177; ]
                    H::Abacus |               ctr:1048576000 |    2 | - (  0/ 897 ~0.000; c - (  2/ 299) | hcr:  - , max 280, sds 000) exs: 336012, 336013, 336014, mpv: [3.359e-04, 7.516e-04, 2.534e-05], [; ; ]
                    H::Abacus |               ctr:1048576000 |    3 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:  - , max 280, sds 000) exs: 336015, 336016, 336017, mpv: [3.800e-04, 6.922e-04, 1.005e-04], [; ; ]
                    H::Abacus |               ctr:1048576000 |    4 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:  - , max 280, sds 000) exs: 377901, 377902, 377903, mpv: [1.097e-04, 3.847e-04, 1.473e-04], [; ; ]
                    H::Abacus |               ctr:1048576000 |    5 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:  - , max 280, sds 000) exs: 377904, 377905, 377906, mpv: [8.763e-05, 1.586e-03, 1.621e-03], [; ; ]
                    H::Abacus |                  hw:10485760 |    0 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 301452, 304643, 307787, mpv: [1.156e-03, 4.301e-03, 6.700e-04], [; ; ]
                    H::Abacus |                  hw:10485760 |    1 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 301455, 304649, 307793, mpv: [4.012e-03, 3.537e-03, 2.043e-03], [; ; ]
                    H::Abacus |                  hw:10485760 |    2 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 301458, 304655, 307799, mpv: [7.140e-04, 1.300e-03, 2.971e-03], [; ; ]
                    H::Abacus |                  hw:10485760 |    3 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 301461, 304661, 307805, mpv: [9.900e-04, 8.262e-03, 1.808e-03], [; ; ]
                    H::Abacus |                  hw:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 377907, 377908, 377909, mpv: [3.261e-03, 9.535e-03, 2.800e-03], [; ; ]
                    H::Abacus |                  hw:10485760 |    5 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 377910, 377911, 377912, mpv: [3.923e-03, 3.261e-03, 5.659e-03], [; ; ]
                    H::Abacus |                 hw:104857600 |    0 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 303024, 304646, 307790, mpv: [1.359e-03, 1.115e-04, 4.262e-03], [; ; ]
                    H::Abacus |                 hw:104857600 |    1 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 303027, 304652, 307796, mpv: [2.043e-03, 1.376e-03, 8.819e-04], [; ; ]
                    H::Abacus |                 hw:104857600 |    2 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 303030, 304658, 307802, mpv: [3.996e-03, 1.081e-03, 8.097e-04], [; ; ]
                    H::Abacus |                 hw:104857600 |    3 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 303033, 304664, 307808, mpv: [6.269e-05, 2.534e-03, 9.360e-04], [; ; ]
                    H::Abacus |                 hw:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 377913, 377914, 377915, mpv: [5.601e-04, 2.600e-04, 1.070e-02], [; ; ]
                    H::Abacus |                 hw:104857600 |    5 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 377916, 377917, 377918, mpv: [7.003e-04, 4.381e-03, 6.828e-05], [; ; ]
                    H::Abacus |                hw:1048576000 |    1 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:  - , max 280, sds 000) exs: 321024, 321126, 321231, mpv: [1.019e-03, 6.270e-04, 1.400e-03], [; ; ]
