               B:M:gmimc-S45a |           ctr:s15mb:10485760 |    1 | - (  0/ 723 ~0.000; c - (  1/ 241) | hcr:  - , max 121, sds 000) exs: 352506, 352507, 352508, mpv: [2.100e-03, 3.267e-04, 1.800e-03], [; ; ]
               B:M:gmimc-S45a |           ctr:s15mb:10485760 |    2 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 352551, 352552, 352553, mpv: [1.400e-04, 1.611e-03, 4.222e-03], [; ; ]
               B:M:gmimc-S45a |           ctr:s15mb:10485760 |    3 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 352566, 352567, 352568, mpv: [5.880e-04, 1.628e-03, 9.600e-04], [; ; ]
               B:M:gmimc-S45a |          ctr:s15mb:104857600 |    1 | - (  0/ 816 ~0.000; c - (  0/ 272) | hcr:  - , max 121, sds 000) exs: 352521, 352522, 352523, mpv: [7.100e-03, 1.050e-03, 2.572e-03], [; ; ]
               B:M:gmimc-S45a |          ctr:s15mb:104857600 |    2 | - (  0/ 816 ~0.000; c - (  0/ 272) | hcr:  - , max 121, sds 000) exs: 284984, 284985, 284986, mpv: [1.399e-03, 1.100e-03, 5.422e-03], [; ; ]
               B:M:gmimc-S45a |         ctr:s15mb:1073741824 |    1 | - (  0/ 978 ~0.000; c - (  1/ 326) | hcr:  - , max 121, sds 000) exs: 356494, 356495, 356496, mpv: [2.174e-05, 9.000e-04, 2.603e-04], [; ; ]
               B:M:gmimc-S45a |           ctr:s15ob:10485760 |    1 | - (  1/ 696 ~0.001; c - (  0/ 232) | hcr:  - , max 121, sds 100) exs: 352509, 352510, 352511, mpv: [3.322e-64, 2.200e-04, 1.399e-03], [849; ; ]
               B:M:gmimc-S45a |           ctr:s15ob:10485760 |    2 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 352554, 352555, 352556, mpv: [1.509e-03, 1.991e-04, 2.000e-03], [; ; ]
               B:M:gmimc-S45a |           ctr:s15ob:10485760 |    3 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 352569, 352570, 352571, mpv: [5.880e-04, 9.300e-05, 6.976e-03], [; ; ]
               B:M:gmimc-S45a |          ctr:s15ob:104857600 |    1 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 121, sds 000) exs: 352524, 352525, 352526, mpv: [8.932e-05, 1.700e-03, 4.200e-05], [; ; ]
               B:M:gmimc-S45a |          ctr:s15ob:104857600 |    2 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 121, sds 000) exs: 284990, 284991, 284992, mpv: [2.465e-03, 1.189e-03, 5.200e-04], [; ; ]
               B:M:gmimc-S45a |         ctr:s15ob:1073741824 |    1 | R (  9/ 951 ~0.009; c R (  5/ 317) | hcr:  - , max 121, sm: 99.17 %, sds 111) exs: 356497, 356498, 356499, mpv: [1.000e-300, 1.000e-300, 1.000e-300], [168, 407, 408, 852; 407, 408; 177, 407, 408]
               B:M:gmimc-S45a |          ctr:s16mb1:10485760 |    1 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 352512, 352513, 352514, mpv: [2.465e-03, 1.156e-03, 2.054e-03], [; ; ]
               B:M:gmimc-S45a |          ctr:s16mb1:10485760 |    2 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 352557, 352558, 352559, mpv: [7.438e-04, 3.507e-03, 4.300e-03], [; ; ]
               B:M:gmimc-S45a |          ctr:s16mb1:10485760 |    3 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 352572, 352573, 352574, mpv: [3.261e-03, 6.663e-03, 1.159e-02], [; ; ]
               B:M:gmimc-S45a |         ctr:s16mb1:104857600 |    1 | - (  1/ 816 ~0.001; c - (  0/ 272) | hcr:  - , max 121, sds 000) exs: 352527, 352528, 352529, mpv: [4.881e-05, 3.753e-09, 4.672e-03], [; 768; ]
               B:M:gmimc-S45a |         ctr:s16mb1:104857600 |    2 | - (  0/ 816 ~0.000; c - (  0/ 272) | hcr:  - , max 121, sds 000) exs: 284996, 284997, 284998, mpv: [2.500e-03, 1.724e-03, 4.000e-03], [; ; ]
               B:M:gmimc-S45a |        ctr:s16mb1:1073741824 |    1 | - (  0/ 978 ~0.000; c - (  1/ 326) | hcr:  - , max 121, sds 000) exs: 356500, 356501, 356502, mpv: [2.200e-05, 1.102e-03, 2.863e-04], [; ; ]
               B:M:gmimc-S45a |            ctr:s6mb:10485760 |    1 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 352500, 352501, 352502, mpv: [2.480e-03, 8.879e-03, 7.866e-04], [; ; ]
               B:M:gmimc-S45a |            ctr:s6mb:10485760 |    2 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 352545, 352546, 352547, mpv: [1.159e-02, 1.500e-03, 2.300e-03], [; ; ]
               B:M:gmimc-S45a |            ctr:s6mb:10485760 |    3 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 352560, 352561, 352562, mpv: [6.582e-04, 5.880e-04, 2.800e-03], [; ; ]
               B:M:gmimc-S45a |           ctr:s6mb:104857600 |    1 | - (  1/ 816 ~0.001; c - (  0/ 272) | hcr:  - , max 121, sds 000) exs: 352515, 352516, 352517, mpv: [5.456e-03, 5.488e-09, 2.406e-03], [; 777; ]
               B:M:gmimc-S45a |           ctr:s6mb:104857600 |    2 | - (  0/ 816 ~0.000; c - (  0/ 272) | hcr:  - , max 121, sds 000) exs: 284972, 284973, 284974, mpv: [4.500e-04, 2.700e-03, 1.895e-03], [; ; ]
               B:M:gmimc-S45a |          ctr:s6mb:1073741824 |    1 | - (  0/ 978 ~0.000; c - (  0/ 326) | hcr:  - , max 121, sds 000) exs: 356503, 356504, 356505, mpv: [7.794e-05, 2.102e-03, 1.748e-04], [; ; ]
               B:M:gmimc-S45a |            ctr:s6ob:10485760 |    1 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 352503, 352504, 352505, mpv: [2.682e-04, 2.900e-04, 3.226e-03], [; ; ]
               B:M:gmimc-S45a |            ctr:s6ob:10485760 |    2 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 352548, 352549, 352550, mpv: [8.663e-04, 5.166e-03, 3.363e-04], [; ; ]
               B:M:gmimc-S45a |            ctr:s6ob:10485760 |    3 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 352563, 352564, 352565, mpv: [8.663e-04, 1.691e-03, 1.700e-05], [; ; ]
               B:M:gmimc-S45a |           ctr:s6ob:104857600 |    1 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 121, sds 000) exs: 352518, 352519, 352520, mpv: [8.300e-04, 2.900e-04, 2.500e-03], [; ; ]
               B:M:gmimc-S45a |           ctr:s6ob:104857600 |    2 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 121, sds 000) exs: 284978, 284979, 284980, mpv: [3.400e-03, 1.100e-03, 4.545e-03], [; ; ]
               B:M:gmimc-S45a |          ctr:s6ob:1073741824 |    1 | R ( 10/ 951 ~0.011; c R (  6/ 317) | hcr:  - , max 121, sm: 99.17 %, sds 111) exs: 356506, 356507, 356508, mpv: [1.000e-300, 1.000e-300, 1.000e-300], [238, 407, 408, 566; 238, 407, 408; 238, 407, 408]
               B:M:gmimc-S45a |           lhw:s15mb:10485760 |    1 | - (  3/ 723 ~0.004; c - (  0/ 241) | hcr:  - , max 121, sds 001) exs: 352686, 352687, 352688, mpv: [4.000e-04, 2.486e-03, 3.960e-31], [; ; 720, 723, 774]
               B:M:gmimc-S45a |           lhw:s15mb:10485760 |    2 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 352746, 352747, 352748, mpv: [5.166e-03, 8.644e-04, 1.600e-03], [; ; ]
               B:M:gmimc-S45a |          lhw:s15mb:104857600 |    1 | R ( 34/ 816 ~0.042; c R ( 12/ 272) | hcr:  - , max 121, sm: 99.17 %, sds 111) exs: 352701, 352702, 352703, mpv: [9.282e-93, 1.556e-250, 7.497e-275]
               B:M:gmimc-S45a |          lhw:s15mb:104857600 |    2 | - (  0/ 816 ~0.000; c - (  0/ 272) | hcr:  - , max 121, sds 000) exs: 352716, 352717, 352718, mpv: [2.141e-03, 6.273e-04, 6.269e-05], [; ; ]
               B:M:gmimc-S45a |         lhw:s15mb:1073741824 |    2 | - (  0/ 978 ~0.000; c - (  0/ 326) | hcr:  - , max 121, sds 000) exs: 356509, 356510, 356511, mpv: [9.808e-04, 3.881e-04, 1.200e-05], [; ; ]
               B:M:gmimc-S45a |           lhw:s15ob:10485760 |    1 | - (  6/ 696 ~0.009; c - (  1/ 232) | hcr:  - , max 121, sds 001) exs: 352689, 352690, 352691, mpv: [1.200e-04, 1.000e-05, 5.715e-11], [; 560; 542, 560, 729, 732, 783]
               B:M:gmimc-S45a |           lhw:s15ob:10485760 |    2 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 352749, 352750, 352751, mpv: [5.100e-03, 5.605e-03, 9.175e-04], [; ; ]
