                   B:S:Chacha |             ctr.key:10485760 |    2 | R (366/ 642 ~0.570; c R (138/ 214) | hcr:   6, max  20, sm: 90.00 %, sds 111) exs: 324915, 324916, 324917, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   B:S:Chacha |             ctr.key:10485760 |    3 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 324918, 324919, 324920, mpv: [5.996e-04, 7.298e-05, 3.996e-03], [; ; ]
                   B:S:Chacha |             ctr.key:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 324921, 324922, 324923, mpv: [1.803e-04, 4.156e-04, 9.880e-05], [; ; ]
                   B:S:Chacha |             ctr.key:10485760 |    5 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 329942, 329943, 329944, mpv: [1.786e-03, 1.019e-03, 2.000e-03], [; ; ]
                   B:S:Chacha |             ctr.key:10485760 |    6 | - (  0/ 642 ~0.000; c - (  1/ 214) | hcr:   6, max  20, sds 000) exs: 378996, 378997, 378998, mpv: [2.971e-03, 2.682e-04, 2.960e-04], [; ; ]
                   B:S:Chacha |             ctr.key:10485760 |    7 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 378999, 379000, 379001, mpv: [6.480e-04, 5.659e-03, 4.838e-04], [; ; ]
                   B:S:Chacha |            ctr.key:104857600 |    2 | R (515/ 735 ~0.701; c R (185/ 245) | hcr:   6, max  20, sm: 90.00 %, sds 111) exs: 315138, 315139, 315140, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   B:S:Chacha |            ctr.key:104857600 |    3 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 315144, 315145, 315146, mpv: [2.700e-04, 3.577e-03, 6.400e-04], [; ; ]
                   B:S:Chacha |            ctr.key:104857600 |    4 | - (  1/ 735 ~0.001; c - (  1/ 245) | hcr:   6, max  20, sds 000) exs: 315150, 315151, 315152, mpv: [1.792e-03, 3.100e-06, 5.659e-03], [; 448; ]
                   B:S:Chacha |            ctr.key:104857600 |    5 | - (  1/ 735 ~0.001; c - (  0/ 245) | hcr:   6, max  20, sds 001) exs: 315156, 315157, 315158, mpv: [1.128e-03, 2.141e-03, 4.800e-11], [; ; 448]
                   B:S:Chacha |            ctr.key:104857600 |    6 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 379002, 379003, 379004, mpv: [3.900e-04, 5.266e-03, 1.774e-03], [; ; ]
